MaStR-Nr. der Stromerzeugungseinheit,Anzeige-Name der Stromerzeugungseinheit,Bundesland der Einheit,Auswertung Energieträger,Bruttoleistung in MW,Nettonennleistung (elektrische Wirkleistung) in MW,Volleinspeisung oder Teileinspeisung?,Anschlussnetzbetreiber,Spannungsebene
SEE9-Dummy-EEG,,Bayern,Solare Strahlungsenergie,24329.03036,24329.03036,,,
SEE9-Dummy-EEG,,Niedersachsen,Windenergie (Onshore-Anlage),12672.3857,12672.3857,,,
SEE9-Dummy-EEG,,Baden-Württemberg,Solare Strahlungsenergie,11365.16269,11365.16269,,,
SEE9-Dummy-EEG,,Nordrhein-Westfalen,Solare Strahlungsenergie,10896.44095,10896.44095,,,
SEE9-Dummy-EEG,,Brandenburg,Windenergie (Onshore-Anlage),8771.86797,8771.86797,,,
SEE9-Dummy-EEG,,Schleswig-Holstein,Windenergie (Onshore-Anlage),8710.99084,8710.99084,,,
SEE9-Dummy-EEG,,Niedersachsen,Solare Strahlungsenergie,7902.960074,7902.960074,,,
SEE9-Dummy-EEG,,Nordrhein-Westfalen,Windenergie (Onshore-Anlage),7422.1266,7422.1266,,,
SEE9-Dummy-EEG,,Nordsee,Windenergie (Offshore-Anlage),7093.468,7093.468,,,
SEE9-Dummy-EEG,,Brandenburg,Solare Strahlungsenergie,6941.061773,6941.061773,,,
SEE9-Dummy-EEG,,Sachsen-Anhalt,Windenergie (Onshore-Anlage),5418.4676,5418.4676,,,
SEE9-Dummy-EEG,,Rheinland-Pfalz,Solare Strahlungsenergie,4577.625266,4577.625266,,,
SEE9-Dummy-EEG,,Sachsen-Anhalt,Solare Strahlungsenergie,4388.526812,4388.526812,,,
SEE9-Dummy-EEG,,Sachsen,Solare Strahlungsenergie,4253.451118,4253.451118,,,
SEE9-Dummy-nicht_EEG,,ohne Zuordnung,Erdgas,4233,4233,,,
SEE9-Dummy-EEG,,Hessen,Solare Strahlungsenergie,4125.466553,4125.466553,,,
SEE9-Dummy-EEG,,Rheinland-Pfalz,Windenergie (Onshore-Anlage),4022.1588,4022.1588,,,
SEE9-Dummy-EEG,,Mecklenburg-Vorpommern,Solare Strahlungsenergie,3940.709733,3940.709733,,,
SEE9-Dummy-EEG,,Mecklenburg-Vorpommern,Windenergie (Onshore-Anlage),3775.00232,3775.00232,,,
SEE9-Dummy-EEG,,Schleswig-Holstein,Solare Strahlungsenergie,3422.210245,3422.210245,,,
SEE9-Dummy-EEG,,Bayern,Windenergie (Onshore-Anlage),2651.285945,2651.285945,,,
SEE9-Dummy-EEG,,Thüringen,Solare Strahlungsenergie,2605.655662,2605.655662,,,
SEE9-Dummy-EEG,,Hessen,Windenergie (Onshore-Anlage),2586.68663,2586.68663,,,
SEE9-Dummy-EEG,,Bayern,Biomasse,1897.44728,1904.20028,,,
SEE9-Dummy-EEG,,Niedersachsen,Biomasse,1835.63284,1845.34634,,,
SEE9-Dummy-EEG,,Thüringen,Windenergie (Onshore-Anlage),1833.370209,1833.370209,,,
SEE9-Dummy-EEG,,Baden-Württemberg,Windenergie (Onshore-Anlage),1823.063443,1823.063443,,,
SEE9-Dummy-nicht_EEG,,ohne Zuordnung,Batteriespeicher,1544,1544,,,
SEE951462745445,Brokdorf,Schleswig-Holstein,Kernenergie,1480,1410,,,Höchstspannung; Mittelspannung
SEE943690268513,Isar 2,Bayern,Kernenergie,1485,1410,,TenneT TSO GmbH (SNB970033313272),Höchstspannung
BNA0802,Kernkraftwerk Philippsburg 2,Baden-Württemberg,Kernenergie,,1402,,Transnet BW GmbH,Höchstspannung (HöS)
SEE9-Dummy-EEG,,Sachsen,Windenergie (Onshore-Anlage),1363.79033,1363.79033,,,
SEE930752846949,Grohnde,Niedersachsen,Kernenergie,1430,1360,Volleinspeisung,TenneT TSO GmbH (SNB970033313272); Westfalen Weser Netz GmbH (SNB929881052512),Höchstspannung; Hochspannung
SEE944567587799,Emsland A,Niedersachsen,Kernenergie,1406,1336,,,Höchstspannung
SEE985577062814,GKN II,Baden-Württemberg,Kernenergie,1400,1310,Volleinspeisung,,Höchstspannung
SEE927528071629,Gundremmingen C,Bayern,Kernenergie,1344,1288,,,Höchstspannung
BNA0381,Kernkraft Gundremmingen ,Bayern,Kernenergie,,1284,,Amprion GmbH,Höchstspannung (HöS)
BNA0355,Grafenrheinfeld,Bayern,Kernenergie,,1275,,TenneT TSO GmbH ,Höchstspannung (HöS)
SEE9-Dummy-nicht_EEG,,ohne Zuordnung,Mineralölprodukte,1270,1270,,,
SEE9-Dummy-EEG,,Baden-Württemberg,Wasser,1225.46719,1231.05719,,,
SEE9-Dummy-EEG,,Ostsee,Windenergie (Offshore-Anlage),1227.475,1227.475,,,
