Day,Day Ahead Auction (volume weighted) (DE-AT-LU)
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2015,
02.01.2015,
03.01.2015,
04.01.2015,
05.01.2015,36.4024
06.01.2015,34.1154
07.01.2015,39.0807
08.01.2015,28.9138
09.01.2015,24.8417
10.01.2015,12.9771
11.01.2015,1.1556
12.01.2015,23.0709
13.01.2015,24.9468
14.01.2015,27.4618
15.01.2015,25.7557
16.01.2015,33.0401
17.01.2015,31.5669
18.01.2015,26.6732
19.01.2015,43.3212
20.01.2015,47.6792
21.01.2015,45.6866
22.01.2015,44.5477
23.01.2015,42.8886
24.01.2015,29.7944
25.01.2015,28.0542
26.01.2015,37.6551
27.01.2015,33.4095
28.01.2015,28.1143
29.01.2015,26.4319
30.01.2015,38.7837
31.01.2015,29.7176
01.02.2015,29.3302
02.02.2015,42.9231
03.02.2015,46.0452
04.02.2015,49.2976
05.02.2015,44.4924
06.02.2015,39.3293
07.02.2015,26.5527
08.02.2015,11.428
09.02.2015,27.6
10.02.2015,44.6584
11.02.2015,49.1978
12.02.2015,48.9867
13.02.2015,39.1147
14.02.2015,32.7009
15.02.2015,29.2381
16.02.2015,35.8144
17.02.2015,43.5548
18.02.2015,43.9118
19.02.2015,38.7867
20.02.2015,30.8408
21.02.2015,30.0879
22.02.2015,33.594
23.02.2015,31.7332
24.02.2015,34.949
25.02.2015,44.7498
26.02.2015,37.5216
27.02.2015,39.3734
28.02.2015,29.4137
01.03.2015,10.575
02.03.2015,27.1451
03.03.2015,27.0075
04.03.2015,26.027
05.03.2015,36.0108
06.03.2015,40.5759
07.03.2015,28.5625
08.03.2015,21.9201
09.03.2015,39.0825
10.03.2015,37.8394
11.03.2015,34.3252
12.03.2015,39.4936
13.03.2015,36.6963
14.03.2015,32.1287
15.03.2015,27.3773
16.03.2015,30.7222
17.03.2015,31.7285
18.03.2015,36.2816
19.03.2015,36.9612
20.03.2015,34.9221
21.03.2015,31.1326
22.03.2015,25.7128
23.03.2015,40.8191
24.03.2015,48.8452
25.03.2015,40.0577
26.03.2015,41.5788
27.03.2015,34.1022
28.03.2015,26.873
29.03.2015,12.6151
30.03.2015,15.7942
31.03.2015,18.1944
01.04.2015,19.0466
02.04.2015,32.477
03.04.2015,22.5374
04.04.2015,27.9258
05.04.2015,24.5179
06.04.2015,25.3769
07.04.2015,35.6994
