Day,"Day Ahead Auction (volume weighted) (DE-AT-LU, DE-LU)"
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2018,-28.4203
02.01.2018,34.4083
03.01.2018,9.3069
04.01.2018,28.0785
05.01.2018,29.4943
06.01.2018,36.6943
07.01.2018,23.1454
08.01.2018,31.321
09.01.2018,29.9114
10.01.2018,42.3436
11.01.2018,48.8034
12.01.2018,42.6041
13.01.2018,33.8208
14.01.2018,28.3839
15.01.2018,26.3778
16.01.2018,26.3856
17.01.2018,29.2207
18.01.2018,30.775
19.01.2018,40.7778
20.01.2018,35.5976
21.01.2018,34.732
22.01.2018,39.2244
23.01.2018,37.4358
24.01.2018,24.1345
25.01.2018,32.177
26.01.2018,45.958
27.01.2018,31.8251
28.01.2018,4.9271
29.01.2018,16.6528
30.01.2018,35.3507
31.01.2018,29.4537
01.02.2018,34.1003
02.02.2018,40.6709
03.02.2018,40.5793
04.02.2018,33.5283
05.02.2018,45.5708
06.02.2018,47.7178
07.02.2018,47.7448
08.02.2018,50.4582
09.02.2018,41.3941
10.02.2018,39.6368
11.02.2018,10.6888
12.02.2018,33.0498
13.02.2018,39.9632
14.02.2018,40.0484
15.02.2018,34.1701
16.02.2018,40.3596
17.02.2018,40.9287
18.02.2018,36.5045
19.02.2018,51.1562
20.02.2018,49.6262
21.02.2018,46.9228
22.02.2018,47.7237
23.02.2018,44.4046
24.02.2018,21.9965
25.02.2018,34.867
26.02.2018,46.4449
27.02.2018,48.8438
28.02.2018,37.5226
01.03.2018,29.548
02.03.2018,40.1457
03.03.2018,34.3566
04.03.2018,31.2983
05.03.2018,49.0298
06.03.2018,50.7325
07.03.2018,48.7822
08.03.2018,37.3567
09.03.2018,36.8852
10.03.2018,34.9104
11.03.2018,28.5636
12.03.2018,42.0188
13.03.2018,40.1263
14.03.2018,46.9476
15.03.2018,24.38
16.03.2018,30.0265
17.03.2018,4.0221
18.03.2018,0.1023
19.03.2018,49.2681
20.03.2018,42.4788
21.03.2018,52.3999
22.03.2018,43.267
23.03.2018,53.1673
24.03.2018,40.9464
25.03.2018,37.0375
26.03.2018,52.9698
27.03.2018,44.9659
28.03.2018,40.7582
29.03.2018,37.7863
30.03.2018,29.1059
31.03.2018,22.6897
01.04.2018,23.8125
02.04.2018,27.344
03.04.2018,34.0953
04.04.2018,36.4968
05.04.2018,32.4243
06.04.2018,35.046
07.04.2018,14.5614
08.04.2018,21.3602
09.04.2018,43.108
10.04.2018,36.2553
11.04.2018,31.3568
12.04.2018,29.5573
13.04.2018,38.7837
14.04.2018,34.6417
15.04.2018,30.9371
16.04.2018,47.191
17.04.2018,43.6496
18.04.2018,41.0541
19.04.2018,39.8691
20.04.2018,38.3729
21.04.2018,28.6802
22.04.2018,17.4251
23.04.2018,32.3076
24.04.2018,33.7111
25.04.2018,26.518
26.04.2018,30.1818
27.04.2018,39.5002
28.04.2018,28.3508
29.04.2018,20.7511
30.04.2018,12.3656
01.05.2018,-9.0066
02.05.2018,40.514
03.05.2018,40.2638
04.05.2018,40.755
05.05.2018,27.6033
06.05.2018,18.2906
07.05.2018,34.4954
08.05.2018,26.946
09.05.2018,36.8886
10.05.2018,24.7274
11.05.2018,42.4776
12.05.2018,32.2734
13.05.2018,16.0147
14.05.2018,35.2283
15.05.2018,43.1617
16.05.2018,42.0907
17.05.2018,35.8154
18.05.2018,39.2447
19.05.2018,35.7168
20.05.2018,15.6118
21.05.2018,2.6251
22.05.2018,43.9816
23.05.2018,42.6463
24.05.2018,39.1085
25.05.2018,40.4172
26.05.2018,36.3704
27.05.2018,32.0277
28.05.2018,44.9132
29.05.2018,43.2142
30.05.2018,47.0148
31.05.2018,41.8486
01.06.2018,52.2235
02.06.2018,39.7893
03.06.2018,30.5225
04.06.2018,47.6397
05.06.2018,51.6518
06.06.2018,50.25
07.06.2018,49.9175
08.06.2018,49.7054
09.06.2018,42.2759
10.06.2018,38.5008
11.06.2018,49.2317
12.06.2018,50.7061
13.06.2018,48.7977
14.06.2018,43.5785
15.06.2018,50.0468
16.06.2018,39.8972
17.06.2018,21.5817
18.06.2018,44.7264
19.06.2018,46.7621
20.06.2018,46.8085
21.06.2018,28.459
22.06.2018,20.9617
23.06.2018,23.6182
24.06.2018,31.4217
25.06.2018,46.024
26.06.2018,49.9695
27.06.2018,47.5262
28.06.2018,45.1127
29.06.2018,44.3743
30.06.2018,39.7656
01.07.2018,27.4473
02.07.2018,48.1098
03.07.2018,49.2649
04.07.2018,53.4063
05.07.2018,52.1724
06.07.2018,47.7779
07.07.2018,30.5281
08.07.2018,33.0667
09.07.2018,46.4246
10.07.2018,53.4716
11.07.2018,52.7996
12.07.2018,53.7372
13.07.2018,50.7233
14.07.2018,47.7173
15.07.2018,45.3066
16.07.2018,54.4015
17.07.2018,52.6246
18.07.2018,49.7086
19.07.2018,51.7703
20.07.2018,54.1396
21.07.2018,50.1187
22.07.2018,45.8308
23.07.2018,55.4662
24.07.2018,57.0767
25.07.2018,58.7808
26.07.2018,55.4625
27.07.2018,53.9319
28.07.2018,46.1386
29.07.2018,44.1319
30.07.2018,55.4704
31.07.2018,56.6672
01.08.2018,56.7487
02.08.2018,60.3476
03.08.2018,63.6122
04.08.2018,50.8619
05.08.2018,49.4982
06.08.2018,63.1281
07.08.2018,65.2503
08.08.2018,55.8307
09.08.2018,55.6507
10.08.2018,44.4745
11.08.2018,42.8593
12.08.2018,40.5791
13.08.2018,56.7707
14.08.2018,55.2589
15.08.2018,53.3286
16.08.2018,55.5384
17.08.2018,58.5072
18.08.2018,53.0312
19.08.2018,48.7336
20.08.2018,57.4717
21.08.2018,67.1225
22.08.2018,65.358
23.08.2018,63.7612
24.08.2018,57.1589
25.08.2018,52.9685
26.08.2018,47.0145
27.08.2018,45.5791
28.08.2018,66.3964
29.08.2018,62.8943
30.08.2018,57.0826
