Day,Day Ahead Auction (volume weighted) (DE-LU)
,"Price (EUR/MWh, EUR/tCO2)"
01.01.2022,83.0531
02.01.2022,47.4491
03.01.2022,74.8946
04.01.2022,155.6041
05.01.2022,107.9629
06.01.2022,195.3375
07.01.2022,168.229
08.01.2022,165.2935
09.01.2022,144.4604
10.01.2022,268.5777
11.01.2022,260.242
12.01.2022,236.8735
13.01.2022,179.3749
14.01.2022,175.7146
15.01.2022,216.3101
16.01.2022,130.9805
17.01.2022,127.681
18.01.2022,239.3564
19.01.2022,171.6976
20.01.2022,116.757
21.01.2022,160.2859
22.01.2022,173.543
23.01.2022,192.9139
24.01.2022,251.9003
25.01.2022,306.0298
26.01.2022,237.0654
27.01.2022,121.3298
28.01.2022,175.8683
29.01.2022,91.7972
30.01.2022,48.086
31.01.2022,199.8837
01.02.2022,148.9172
02.02.2022,136.763
03.02.2022,195.8171
04.02.2022,132.0808
05.02.2022,89.1077
06.02.2022,50.0646
07.02.2022,82.7535
08.02.2022,137.7497
09.02.2022,166.6319
10.02.2022,193.6829
11.02.2022,183.8874
12.02.2022,137.8591
13.02.2022,79.6311
14.02.2022,102.5118
15.02.2022,155.4537
16.02.2022,116.6659
17.02.2022,68.6031
18.02.2022,118.8901
19.02.2022,33.4635
20.02.2022,66.1924
21.02.2022,76.2972
22.02.2022,122.7088
23.02.2022,125.9575
24.02.2022,122.3064
25.02.2022,118.2066
26.02.2022,223.006
27.02.2022,174.3168
28.02.2022,202.2704
01.03.2022,239.4179
02.03.2022,280.3219
03.03.2022,333.2599
04.03.2022,357.551
05.03.2022,333.0698
06.03.2022,327.4874
07.03.2022,406.0242
08.03.2022,471.8007
09.03.2022,439.6986
10.03.2022,264.4912
11.03.2022,70.2246
12.03.2022,114.9219
13.03.2022,97.8615
14.03.2022,287.2666
15.03.2022,306.1147
16.03.2022,247.8646
17.03.2022,229.3002
18.03.2022,230.0169
19.03.2022,115.2775
20.03.2022,34.8126
21.03.2022,204.3215
22.03.2022,233.582
23.03.2022,233.6112
24.03.2022,234.6796
25.03.2022,239.6143
26.03.2022,171.1918
27.03.2022,185.9259
28.03.2022,216.3913
29.03.2022,253.7905
30.03.2022,276.704
31.03.2022,211.894
01.04.2022,163.0172
02.04.2022,164.6349
03.04.2022,167.0326
04.04.2022,71.3369
05.04.2022,183.8664
06.04.2022,117.7991
07.04.2022,74.5213
08.04.2022,117.0218
09.04.2022,49.1188
10.04.2022,58.626
11.04.2022,222.0769
12.04.2022,177.2459
13.04.2022,222.5619
14.04.2022,227.4156
15.04.2022,187.3408
16.04.2022,132.0498
17.04.2022,87.8015
18.04.2022,109.0767
19.04.2022,212.8646
20.04.2022,200.1633
21.04.2022,199.8319
22.04.2022,165.7539
23.04.2022,79.6022
24.04.2022,101.3493
25.04.2022,225.2909
26.04.2022,238.4785
27.04.2022,222.2306
28.04.2022,228.5007
29.04.2022,227.93
30.04.2022,200.4442
01.05.2022,189.9052
02.05.2022,217.6669
03.05.2022,217.877
04.05.2022,230.7024
05.05.2022,234.9259
06.05.2022,223.9974
07.05.2022,199.5914
08.05.2022,159.5875
09.05.2022,214.7882
10.05.2022,176.3715
11.05.2022,146.8009
12.05.2022,164.2186
13.05.2022,160.3724
14.05.2022,137.3225
15.05.2022,131.9805
16.05.2022,213.0785
17.05.2022,226.2716
18.05.2022,205.9238
19.05.2022,210.3153
20.05.2022,209.9962
21.05.2022,86.4497
22.05.2022,158.3232
23.05.2022,190.4159
24.05.2022,165.1654
25.05.2022,175.8938
26.05.2022,55.6142
27.05.2022,37.8306
28.05.2022,29.3183
29.05.2022,153.3369
30.05.2022,227.7182
31.05.2022,209.4709
01.06.2022,213.0986
02.06.2022,186.5152
03.06.2022,184.0939
04.06.2022,158.1352
05.06.2022,137.582
06.06.2022,67.1225
07.06.2022,185.2798
08.06.2022,190.6924
09.06.2022,185.3139
10.06.2022,184.5938
11.06.2022,123.0549
12.06.2022,95.0356
13.06.2022,158.9756
14.06.2022,191.8831
15.06.2022,208.1914
16.06.2022,188.6239
17.06.2022,248.1975
18.06.2022,182.8834
19.06.2022,138.9596
20.06.2022,268.5911
21.06.2022,284.5286
22.06.2022,323.823
23.06.2022,292.4313
24.06.2022,275.6279
25.06.2022,234.4829
26.06.2022,187.2511
27.06.2022,316.569
28.06.2022,331.1994
29.06.2022,320.045
30.06.2022,324.798
01.07.2022,315.4797
02.07.2022,195.2339
03.07.2022,175.7074
04.07.2022,283.7001
05.07.2022,310.8953
06.07.2022,293.1237
07.07.2022,212.7472
08.07.2022,290.4655
09.07.2022,133.2543
10.07.2022,90.5306
11.07.2022,378.532
