Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (DE-AT-LU)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2016-01-01T00:00+01:00,10684.41913,26512.20639,15402.07533,23.86
2016-01-01T01:00+01:00,10680.55929,25682.49597,15181.58246,22.39
2016-01-01T02:00+01:00,10583.2774,25521.68271,15123.49139,20.59
2016-01-01T03:00+01:00,10661.44972,25373.99198,15004.02419,16.81
2016-01-01T04:00+01:00,10587.69862,25379.08725,14876.31349,17.41
2016-01-01T05:00+01:00,10447.12765,25461.9434,13866.66038,17.02
2016-01-01T06:00+01:00,10400.73723,25398.06195,13111.20573,15.86
2016-01-01T07:00+01:00,10275.28625,25740.93236,12086.78691,18.16
2016-01-01T08:00+01:00,10307.04322,26066.81022,11271.64287,17.73
2016-01-01T09:00+01:00,10296.80604,25929.00086,11315.26217,19.77
2016-01-01T10:00+01:00,10211.76235,26607.18269,11837.00705,23.75
2016-01-01T11:00+01:00,10173.22384,27717.91095,12090.77079,26.03
2016-01-01T12:00+01:00,10404.89149,28125.00999,11898.3242,27.06
2016-01-01T13:00+01:00,10516.79436,28355.21133,10999.05715,26.59
2016-01-01T14:00+01:00,10661.68176,28520.70986,9395.978327,25
2016-01-01T15:00+01:00,10657.52502,28528.44053,7735.431521,24.43
2016-01-01T16:00+01:00,10665.1898,28976.19378,7291.822116,28.87
2016-01-01T17:00+01:00,10556.25853,29885.89237,8099.655293,37.44
2016-01-01T18:00+01:00,10641.93097,30053.29411,8943.70502,37.41
2016-01-01T19:00+01:00,10593.59192,29843.25313,10152.07614,35.34
2016-01-01T20:00+01:00,10542.00183,29092.18681,11153.85746,33.07
2016-01-01T21:00+01:00,10633.38294,28007.83429,12081.59194,29.52
2016-01-01T22:00+01:00,10638.51026,27315.8662,12761.86479,30.1
2016-01-01T23:00+01:00,10619.61527,25959.13409,13565.96643,24.57
2016-01-02T00:00+01:00,10598.11295,24558.29595,13936.51041,22.2
2016-01-02T01:00+01:00,10630.55106,22881.64432,15361.50691,16.57
2016-01-02T02:00+01:00,10456.45414,21031.93474,17149.52478,15.35
2016-01-02T03:00+01:00,10251.90267,18973.96213,18510.08789,12.77
2016-01-02T04:00+01:00,10305.61854,18449.53098,19847.91707,11.27
2016-01-02T05:00+01:00,10237.51373,18772.36585,21294.75693,11.91
2016-01-02T06:00+01:00,10040.05568,18769.99821,22441.70296,12.62
2016-01-02T07:00+01:00,10351.34528,19426.11828,23175.59823,13.83
2016-01-02T08:00+01:00,10474.98485,20756.68214,23997.39529,16.12
2016-01-02T09:00+01:00,10420.81239,23714.40155,25048.22059,18.12
2016-01-02T10:00+01:00,10324.12431,24295.75549,26318.19024,19.59
2016-01-02T11:00+01:00,10342.418,24489.66794,27230.31798,21.07
2016-01-02T12:00+01:00,10391.29847,24431.26343,27550.49588,22.54
2016-01-02T13:00+01:00,10401.9149,24013.78943,27305.95158,19.79
2016-01-02T14:00+01:00,10265.31105,23796.97833,26770.14868,16.9
2016-01-02T15:00+01:00,10265.11644,23707.70265,26155.91032,16.97
2016-01-02T16:00+01:00,10267.37446,24063.25858,26371.02807,19.25
2016-01-02T17:00+01:00,10426.24909,24461.48126,26974.38931,28.01
2016-01-02T18:00+01:00,10308.50781,24385.98888,27364.82921,28.36
2016-01-02T19:00+01:00,10258.81894,24131.25514,27293.39036,26.56
2016-01-02T20:00+01:00,10324.03199,23662.25748,26859.8349,17.38
2016-01-02T21:00+01:00,10310.20444,23477.9076,26340.07924,15.83
2016-01-02T22:00+01:00,10315.5164,24007.55682,25602.91219,16.97
2016-01-02T23:00+01:00,10342.75233,23148.17865,25948.13724,15.31
2016-01-03T00:00+01:00,10469.25872,19878.39653,26076.19519,6.99
