Date (GMT+1),Nuclear,Non-Renewable,Renewable,"Day Ahead Auction (DE-AT-LU, DE-LU)"
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2018-01-01T00:00+01:00,5855.880007,12983.39994,38694.47999,-5.27
2018-01-01T01:00+01:00,4755.607813,13001.67692,39648.49316,-29.99
2018-01-01T02:00+01:00,4592.559417,12953.90016,40178.20165,-56.65
2018-01-01T03:00+01:00,4890.449039,12885.47811,41074.25309,-63.14
2018-01-01T04:00+01:00,4697.830506,12908.15782,41171.05152,-64.62
2018-01-01T05:00+01:00,4832.49167,12932.90251,41659.1416,-67
2018-01-01T06:00+01:00,4764.3208,12756.37695,41217.69055,-72.54
2018-01-01T07:00+01:00,4640.655905,12542.82901,40662.14319,-76.01
2018-01-01T08:00+01:00,4617.610505,12200.55426,40575.53621,-71.45
2018-01-01T09:00+01:00,4659.109732,12395.42564,42512.69907,-66.88
2018-01-01T10:00+01:00,4858.750672,12536.9541,45993.97899,-62
2018-01-01T11:00+01:00,4827.880089,12604.44468,48716.80101,-56.08
2018-01-01T12:00+01:00,5140.224667,12407.8346,48559.73988,-49.96
2018-01-01T13:00+01:00,6299.879719,12458.10169,45616.9459,-24.29
2018-01-01T14:00+01:00,7287.960952,12480.50949,40217.37159,-5.59
2018-01-01T15:00+01:00,7968.651806,13224.34943,35319.07558,0.23
2018-01-01T16:00+01:00,8597.504888,15827.47237,30845.48121,11.02
2018-01-01T17:00+01:00,8908.041346,17670.57596,29301.7528,23.5
2018-01-01T18:00+01:00,9022.388046,18359.14051,28325.83374,22.91
2018-01-01T19:00+01:00,9092.349531,18942.68225,27893.84231,21.02
2018-01-01T20:00+01:00,9107.302157,19679.44498,26659.32393,21.05
2018-01-01T21:00+01:00,9115.062317,20182.94162,26118.61314,21.95
2018-01-01T22:00+01:00,9113.589312,20602.98551,25579.00348,23.52
2018-01-01T23:00+01:00,9131.597986,20393.00533,24934.94931,18.96
2018-01-02T00:00+01:00,9029.075339,19888.72342,24147.87262,18.12
2018-01-02T01:00+01:00,9043.877914,18727.80659,23966.31408,14.99
2018-01-02T02:00+01:00,9112.616478,18045.88012,23265.55413,13.63
2018-01-02T03:00+01:00,9181.124964,17452.36192,23331.36584,12.15
2018-01-02T04:00+01:00,9163.774016,18947.1966,24163.94753,11.83
2018-01-02T05:00+01:00,9191.013354,20895.34284,24666.99957,14.55
2018-01-02T06:00+01:00,9201.631995,24171.79401,25649.18198,22.58
2018-01-02T07:00+01:00,9280.574057,26512.65563,25989.39512,41.92
2018-01-02T08:00+01:00,9325.379418,28148.23844,25778.48013,47.95
2018-01-02T09:00+01:00,9348.684907,29763.50827,26250.17287,49.9
2018-01-02T10:00+01:00,9348.414815,30217.20845,26975.85801,50
2018-01-02T11:00+01:00,9346.101522,30702.63388,28450.73702,49.7
2018-01-02T12:00+01:00,9305.605139,30642.29821,30053.13494,48.16
2018-01-02T13:00+01:00,9296.679579,30997.68778,29006.78504,47.24
2018-01-02T14:00+01:00,9300.73847,31350.84485,26317.23005,46.1
2018-01-02T15:00+01:00,9294.286258,31714.56195,24213.7355,43.86
2018-01-02T16:00+01:00,9225.18757,31646.77516,24264.88649,43.64
2018-01-02T17:00+01:00,9295.164059,32065.84336,25604.93014,47.37
2018-01-02T18:00+01:00,9215.551767,31852.44589,27234.71443,46.08
2018-01-02T19:00+01:00,9065.572851,30467.74801,29286.66202,41.08
2018-01-02T20:00+01:00,9106.481875,27640.09799,30834.17157,34.94
2018-01-02T21:00+01:00,9189.750421,25018.96168,32210.28687,25.46
2018-01-02T22:00+01:00,9186.33425,21663.43159,33580.3744,21.3
2018-01-02T23:00+01:00,8860.03989,18478.37317,35850.04426,9.94
2018-01-03T00:00+01:00,7984.114606,16011.12786,38050.76394,7.93
2018-01-03T01:00+01:00,6434.215772,15126.85076,39915.59366,0.03
2018-01-03T02:00+01:00,5927.779656,14980.2237,41361.04553,0.02
2018-01-03T03:00+01:00,5597.32637,14768.17979,43484.95334,-5.99
2018-01-03T04:00+01:00,5607.452341,14678.32058,45132.68985,-9.21
2018-01-03T05:00+01:00,6167.6844,14968.88726,45271.3215,-4.64
2018-01-03T06:00+01:00,7333.771657,16244.73949,46475.03977,8.02
2018-01-03T07:00+01:00,8363.117036,17991.76451,46093.01947,11.03
2018-01-03T08:00+01:00,8551.143995,18940.24092,46348.4297,13.28
