Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2019-01-01T00:00+01:00,8994.125946,14780.13342,30649.60446,28.32
2019-01-01T01:00+01:00,8528.676263,13059.86708,32350.79471,10.07
2019-01-01T02:00+01:00,7947.51113,12540.59664,32712.36166,-4.08
2019-01-01T03:00+01:00,7215.666616,12556.1352,34197.39143,-9.91
2019-01-01T04:00+01:00,7114.439328,12492.45731,35888.96417,-7.41
2019-01-01T05:00+01:00,7054.800559,12385.10589,37174.28292,-12.55
2019-01-01T06:00+01:00,7029.346357,12185.66344,38554.74531,-17.25
2019-01-01T07:00+01:00,7167.158752,12225.76402,39386.3209,-15.07
2019-01-01T08:00+01:00,7149.483194,12249.65768,40250.26069,-4.93
2019-01-01T09:00+01:00,6984.138297,12713.55127,40647.02984,-6.33
2019-01-01T10:00+01:00,6634.611393,12783.787,42477.59183,-4.93
2019-01-01T11:00+01:00,6703.06546,12895.00741,45139.43744,0.45
2019-01-01T12:00+01:00,6948.317566,13008.65747,45715.11206,0.12
2019-01-01T13:00+01:00,6946.923704,12969.08969,45862.66496,-0.02
2019-01-01T14:00+01:00,7010.898931,12947.89783,45501.34413,0
2019-01-01T15:00+01:00,7264.986317,12979.03038,44347.32664,-0.03
2019-01-01T16:00+01:00,7500.249085,12864.11681,45056.7094,1.97
2019-01-01T17:00+01:00,7648.113266,12901.46793,45487.06269,9.06
2019-01-01T18:00+01:00,7492.770196,12750.32364,45577.22715,0.07
2019-01-01T19:00+01:00,7093.798694,12752.31245,45182.12316,-4.97
2019-01-01T20:00+01:00,6593.435038,12717.93619,45039.87747,-6.98
2019-01-01T21:00+01:00,6146.735035,12675.58143,44613.17876,-24.93
2019-01-01T22:00+01:00,6071.496512,12663.33302,43512.23582,-4.87
2019-01-01T23:00+01:00,5979.201925,12451.19182,43339.46013,-28.93
2019-01-02T00:00+01:00,5790.548573,12535.27308,41684.06729,-33.57
2019-01-02T01:00+01:00,5730.565085,11980.92451,40509.86331,-45.92
2019-01-02T02:00+01:00,5731.002228,12160.29715,40004.46152,-48.29
2019-01-02T03:00+01:00,5746.397149,12314.02285,39387.98861,-44.99
2019-01-02T04:00+01:00,5777.191986,12399.15563,39564.70696,-48.93
2019-01-02T05:00+01:00,6085.052935,13332.46303,40629.65252,-29.91
2019-01-02T06:00+01:00,7654.940188,15153.44845,41982.68978,-0.01
2019-01-02T07:00+01:00,8578.1958,17100.17679,42357.3339,37.43
2019-01-02T08:00+01:00,8833.267383,18938.21637,41469.53809,48.06
2019-01-02T09:00+01:00,9006.725651,21147.43322,41769.70884,50.74
2019-01-02T10:00+01:00,9005.766435,21593.8137,43962.4731,47.57
2019-01-02T11:00+01:00,9003.775561,21763.80381,46231.4146,43.94
2019-01-02T12:00+01:00,9090.981806,21929.47231,47045.17926,40.97
2019-01-02T13:00+01:00,9000.490745,21671.5427,45482.70515,44.95
2019-01-02T14:00+01:00,9004.667333,22922.67175,41294.50164,49.64
2019-01-02T15:00+01:00,9053.719752,25313.75381,36081.87993,53.67
2019-01-02T16:00+01:00,9201.044374,28211.43327,32869.2153,56.01
2019-01-02T17:00+01:00,9240.124942,29399.4369,31645.23789,56.95
2019-01-02T18:00+01:00,9190.652865,30277.94241,29871.08854,62.08
2019-01-02T19:00+01:00,9120.332823,30560.06092,28151.53976,62.11
2019-01-02T20:00+01:00,9205.131035,30849.15505,26404.61533,57.99
2019-01-02T21:00+01:00,9244.958492,29902.92818,24927.40676,55.64
2019-01-02T22:00+01:00,9251.17841,29583.67993,23703.81736,55.13
