Date (GMT+1),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2024-01-01T00:00+01:00,8805.350554,41792.653,0.1
2024-01-01T01:00+01:00,8675.077174,41338.71683,0.01
2024-01-01T02:00+01:00,8673.671327,41260.45842,0
2024-01-01T03:00+01:00,8716.458963,40207.89967,-0.01
2024-01-01T04:00+01:00,8684.309589,39922.68584,-0.03
2024-01-01T05:00+01:00,8712.30362,40281.6972,-0.02
2024-01-01T06:00+01:00,8736.38592,39899.61901,-0.05
2024-01-01T07:00+01:00,8708.216362,40194.42238,-0.02
2024-01-01T08:00+01:00,8695.658017,41362.10067,0
2024-01-01T09:00+01:00,8645.839022,43531.66616,0.04
2024-01-01T10:00+01:00,8826.116053,46639.78909,0.06
2024-01-01T11:00+01:00,8714.871903,48460.01871,0.54
2024-01-01T12:00+01:00,8770.459054,47856.25463,2.24
2024-01-01T13:00+01:00,8697.234539,45728.73406,1.96
2024-01-01T14:00+01:00,8889.567036,42450.4726,1.04
2024-01-01T15:00+01:00,8969.052501,39313.23661,3.66
2024-01-01T16:00+01:00,9523.554165,38560.28647,43.06
2024-01-01T17:00+01:00,10009.07297,39559.06949,49.93
2024-01-01T18:00+01:00,10047.91885,38761.9133,58
2024-01-01T19:00+01:00,9894.647383,38159.37158,54.25
2024-01-01T20:00+01:00,9715.195134,37140.5839,48.01
2024-01-01T21:00+01:00,9581.884793,35910.50923,42.95
2024-01-01T22:00+01:00,9401.082731,34343.66756,47.09
2024-01-01T23:00+01:00,9273.501319,32310.98962,35.55
2024-01-02T00:00+01:00,9121.782737,31061.08031,30.59
2024-01-02T01:00+01:00,9011.335363,30260.67032,20.07
2024-01-02T02:00+01:00,9061.062882,30112.27337,31.03
2024-01-02T03:00+01:00,9179.821168,31486.7981,18.39
2024-01-02T04:00+01:00,9280.193612,33929.31203,11.08
2024-01-02T05:00+01:00,9634.283938,36771.68555,13.78
2024-01-02T06:00+01:00,10108.31291,39903.30503,47.63
2024-01-02T07:00+01:00,10631.85907,41783.36716,58.1
2024-01-02T08:00+01:00,11428.39023,42949.31634,65.67
2024-01-02T09:00+01:00,12196.03438,43505.74359,64.73
2024-01-02T10:00+01:00,12566.96399,43979.7826,68.98
2024-01-02T11:00+01:00,12991.48014,42387.92058,73.54
2024-01-02T12:00+01:00,13524.26171,41436.21366,78.16
2024-01-02T13:00+01:00,13558.77815,39900.21834,78.87
2024-01-02T14:00+01:00,13649.24357,38364.40855,79.24
2024-01-02T15:00+01:00,13421.86293,37891.77737,79.96
2024-01-02T16:00+01:00,13675.63128,39710.04118,83.46
2024-01-02T17:00+01:00,13566.81027,43052.0366,80.92
2024-01-02T18:00+01:00,13400.10467,45678.12128,74.95
2024-01-02T19:00+01:00,12618.04513,48044.78883,63.18
2024-01-02T20:00+01:00,11549.27132,49234.08446,57.11
2024-01-02T21:00+01:00,10763.25133,50210.36498,46.89
2024-01-02T22:00+01:00,10205.36487,49755.3953,40
2024-01-02T23:00+01:00,9938.401696,49741.12864,7.43
2024-01-03T00:00+01:00,9755.236129,47064.24629,-0.08
2024-01-03T01:00+01:00,9547.435913,46419.73184,-1.23
2024-01-03T02:00+01:00,9597.917839,46706.21896,-1.3
2024-01-03T03:00+01:00,9552.727319,46682.1324,-1.31
2024-01-03T04:00+01:00,9572.445064,47528.17056,-1.31
2024-01-03T05:00+01:00,9820.056843,48361.94362,-1.38
2024-01-03T06:00+01:00,10303.86534,53348.79941,1.09
2024-01-03T07:00+01:00,10840.51972,54707.31267,40.59
2024-01-03T08:00+01:00,11403.41972,54604.98406,59.61
2024-01-03T09:00+01:00,11819.83758,55753.42942,60.61
2024-01-03T10:00+01:00,11654.92549,58506.22694,57
2024-01-03T11:00+01:00,11443.66067,60028.32123,54.89
2024-01-03T12:00+01:00,11344.16771,59812.88693,53.89
2024-01-03T13:00+01:00,11704.66663,58307.41276,54.42
2024-01-03T14:00+01:00,11487.74151,55336.25189,60.86
2024-01-03T15:00+01:00,11800.51074,50933.22398,67.18
2024-01-03T16:00+01:00,13070.78674,47833.49244,73.59
2024-01-03T17:00+01:00,13930.56389,45957.24904,82.28
2024-01-03T18:00+01:00,14228.33836,44528.50613,82.97
2024-01-03T19:00+01:00,13764.00811,43145.65888,79.03
2024-01-03T20:00+01:00,13102.51976,42029.30276,73.23
2024-01-03T21:00+01:00,12049.69264,41524.96516,67.41
2024-01-03T22:00+01:00,11405.02171,40381.69934,65
2024-01-03T23:00+01:00,11114.56958,40712.2882,58.12
2024-01-04T00:00+01:00,10477.7099,41116.49043,57.3
2024-01-04T01:00+01:00,10104.75798,41767.57896,50.46
2024-01-04T02:00+01:00,10150.28956,42869.64289,40
2024-01-04T03:00+01:00,10287.73948,43339.72357,25.48
2024-01-04T04:00+01:00,10309.42478,43765.71405,35
2024-01-04T05:00+01:00,11166.90179,44242.99403,57.73
2024-01-04T06:00+01:00,13120.78322,43843.7518,72.65
2024-01-04T07:00+01:00,15829.20793,42861.02854,85.02
2024-01-04T08:00+01:00,16928.84972,41532.85352,91.47
2024-01-04T09:00+01:00,17840.18643,41166.16871,94.2
2024-01-04T10:00+01:00,17958.52751,41713.37477,91.61
2024-01-04T11:00+01:00,18076.79009,41335.4363,90.03
2024-01-04T12:00+01:00,18906.29636,39280.39191,86.3
2024-01-04T13:00+01:00,19957.54303,36128.99266,85.96
2024-01-04T14:00+01:00,21355.87453,31917.21621,92.11
2024-01-04T15:00+01:00,23718.78267,27222.98589,98.62
2024-01-04T16:00+01:00,25061.97501,23613.43296,105.73
2024-01-04T17:00+01:00,25855.94335,21117.59875,133.23
2024-01-04T18:00+01:00,26643.23451,18836.29668,144.65
2024-01-04T19:00+01:00,26323.33184,17045.81661,125
2024-01-04T20:00+01:00,25587.42736,16448.90798,103.59
2024-01-04T21:00+01:00,24829.17268,16098.71405,100.01
2024-01-04T22:00+01:00,23050.9631,16918.7494,94.86
2024-01-04T23:00+01:00,20591.53986,17513.60464,88.83
2024-01-05T00:00+01:00,19203.09006,18990.83771,86.08
2024-01-05T01:00+01:00,18024.24635,20698.23451,80.51
2024-01-05T02:00+01:00,17648.50829,22592.21508,77.01
2024-01-05T03:00+01:00,17462.32942,24892.86967,73.21
2024-01-05T04:00+01:00,17445.19284,26346.90433,74.05
2024-01-05T05:00+01:00,18264.55478,28099.70096,76.03
2024-01-05T06:00+01:00,19532.61658,30175.21015,81
2024-01-05T07:00+01:00,21961.44833,32191.95448,87
2024-01-05T08:00+01:00,23236.20996,34151.6507,89.57
2024-01-05T09:00+01:00,23474.23432,36430.16552,94.93
2024-01-05T10:00+01:00,23416.58124,39045.80136,96.28
2024-01-05T11:00+01:00,22848.76199,40917.6342,98.22
2024-01-05T12:00+01:00,23237.35501,40692.81553,92.24
2024-01-05T13:00+01:00,22758.27338,38996.15927,91.54
2024-01-05T14:00+01:00,22930.38715,36933.99169,96.41
2024-01-05T15:00+01:00,23457.26225,34458.1555,100.05
2024-01-05T16:00+01:00,23923.56467,33358.79679,102.97
2024-01-05T17:00+01:00,24404.99153,33861.76729,107.38
2024-01-05T18:00+01:00,24526.19254,33808.75927,108.45
2024-01-05T19:00+01:00,25136.65265,33739.6262,103.96
2024-01-05T20:00+01:00,24964.29472,32605.18182,100.09
2024-01-05T21:00+01:00,23546.09271,31440.71712,94.19
2024-01-05T22:00+01:00,22498.70765,29729.15714,94.92
2024-01-05T23:00+01:00,20370.87158,27932.19007,86.8
2024-01-06T00:00+01:00,19433.47979,26323.16181,82.25
2024-01-06T01:00+01:00,18880.3877,24842.7648,80.2
2024-01-06T02:00+01:00,18439.84917,23944.15259,76.13
2024-01-06T03:00+01:00,18273.60711,23261.57465,73.01
2024-01-06T04:00+01:00,18432.95845,22956.07993,73.01
