Date (GMT+1),Germany
,Energy (TWh)
2014-12-29T01:00+01:00,0.451
2015-01-05T01:00+01:00,0.453
2015-01-12T01:00+01:00,0.454
2015-01-19T01:00+01:00,0.446
2015-01-26T01:00+01:00,0.398
2015-02-02T01:00+01:00,0.37
2015-02-09T01:00+01:00,0.345
2015-02-16T01:00+01:00,0.315
2015-02-23T01:00+01:00,0.276
2015-03-02T01:00+01:00,0.257
2015-03-09T01:00+01:00,0.254
2015-03-16T01:00+01:00,0.237
2015-03-23T01:00+01:00,0.226
2015-03-30T02:00+02:00,0.202
2015-04-06T02:00+02:00,0.192
2015-04-13T02:00+02:00,0.198
2015-04-20T02:00+02:00,0.197
2015-04-27T02:00+02:00,0.205
2015-05-04T02:00+02:00,0.215
2015-05-11T02:00+02:00,0.11
2015-05-18T02:00+02:00,0.151
2015-05-25T02:00+02:00,0.334
2015-06-01T02:00+02:00,0.336
2015-06-08T02:00+02:00,0.403
2015-06-15T02:00+02:00,0.463
2015-06-22T02:00+02:00,0.488
2015-06-29T02:00+02:00,0.497
2015-07-06T02:00+02:00,0.474
2015-07-13T02:00+02:00,0.481
2015-07-20T02:00+02:00,0.453
2015-07-27T02:00+02:00,0.464
2015-08-03T02:00+02:00,0.478
2015-08-10T02:00+02:00,0.485
2015-08-17T02:00+02:00,0.483
2015-08-24T02:00+02:00,0.509
2015-08-31T02:00+02:00,0.504
2015-09-07T02:00+02:00,0.513
2015-09-14T02:00+02:00,0.497
2015-09-21T02:00+02:00,0.499
2015-09-28T02:00+02:00,0.49
2015-10-05T02:00+02:00,0.473
2015-10-12T02:00+02:00,0.448
2015-10-19T02:00+02:00,0.395
2015-10-26T01:00+01:00,0.368
2015-11-02T01:00+01:00,0.361
2015-11-09T01:00+01:00,0.349
2015-11-16T01:00+01:00,0.35
2015-11-23T01:00+01:00,0.352
2015-11-30T01:00+01:00,0.335
2015-12-07T01:00+01:00,0.353
2015-12-14T01:00+01:00,0.346
2015-12-21T01:00+01:00,0.329
2015-12-28T01:00+01:00,0.345
2016-01-04T01:00+01:00,0.339
2016-01-11T01:00+01:00,0.324
2016-01-18T01:00+01:00,0.317
2016-01-25T01:00+01:00,0.274
2016-02-01T01:00+01:00,0.276
2016-02-08T01:00+01:00,0.285
2016-02-15T01:00+01:00,0.284
2016-02-22T01:00+01:00,0.273
2016-02-29T01:00+01:00,0.271
2016-03-07T01:00+01:00,0.263
2016-03-14T01:00+01:00,0.248
2016-03-21T01:00+01:00,0.227
2016-03-28T02:00+02:00,0.203
2016-04-04T02:00+02:00,0.214
2016-04-11T02:00+02:00,0.225
2016-04-18T02:00+02:00,0.211
2016-04-25T02:00+02:00,0.206
2016-05-02T02:00+02:00,0.196
2016-05-09T02:00+02:00,0.191
2016-05-16T02:00+02:00,0.181
2016-05-23T02:00+02:00,0.168
2016-05-30T02:00+02:00,0.203
2016-06-06T02:00+02:00,0.241
2016-06-13T02:00+02:00,0.315
2016-06-20T02:00+02:00,0.378
2016-06-27T02:00+02:00,0.435
2016-07-04T02:00+02:00,0.485
