Year,"Electricity consumption per capita, Finland",Units
2000,15.306,MWh / Capita
2001,15.71,MWh / Capita
2002,16.139,MWh / Capita
2003,16.446,MWh / Capita
2004,16.778,MWh / Capita
2005,16.118,MWh / Capita
2006,17.216,MWh / Capita
2007,17.161,MWh / Capita
2008,16.351,MWh / Capita
2009,15.244,MWh / Capita
2010,16.486,MWh / Capita
2011,15.713,MWh / Capita
2012,15.69,MWh / Capita
2013,15.512,MWh / Capita
2014,15.247,MWh / Capita
2015,15.052,MWh / Capita
2016,15.491,MWh / Capita
2017,15.465,MWh / Capita
2018,15.804,MWh / Capita
2019,15.507,MWh / Capita
2020,14.685,MWh / Capita
2021,15.644,MWh / Capita
2022,14.747,MWh / Capita
2023,14.347,MWh / Capita
