Year,"Electricity consumption per capita, France",Units
2000,7.226,MWh / Capita
2001,7.343,MWh / Capita
2002,7.3,MWh / Capita
2003,7.531,MWh / Capita
2004,7.663,MWh / Capita
2005,7.654,MWh / Capita
2006,7.542,MWh / Capita
2007,7.521,MWh / Capita
2008,7.65,MWh / Capita
2009,7.344,MWh / Capita
2010,7.74,MWh / Capita
2011,7.344,MWh / Capita
2012,7.47,MWh / Capita
2013,7.502,MWh / Capita
2014,7.101,MWh / Capita
2015,7.198,MWh / Capita
2016,7.258,MWh / Capita
2017,7.2,MWh / Capita
2018,7.118,MWh / Capita
2019,7.011,MWh / Capita
2020,6.637,MWh / Capita
2021,6.902,MWh / Capita
2022,6.638,MWh / Capita
2023,6.417,MWh / Capita
