"electricity, United States",Value,Year,Units
"Imports",48592,2000,GWh
"Imports",38501,2001,GWh
"Imports",36373,2002,GWh
"Imports",30390,2003,GWh
"Imports",34210,2004,GWh
"Imports",44527,2005,GWh
"Imports",42691,2006,GWh
"Imports",51396,2007,GWh
"Imports",57019,2008,GWh
"Imports",52191,2009,GWh
"Imports",45083,2010,GWh
"Imports",52301,2011,GWh
"Imports",59257,2012,GWh
"Imports",68947,2013,GWh
"Imports",66511,2014,GWh
"Imports",75770,2015,GWh
"Imports",72716,2016,GWh
"Imports",65684,2017,GWh
"Imports",58260,2018,GWh
"Imports",59052,2019,GWh
"Imports",61448,2020,GWh
"Imports",53167,2021,GWh
"Imports",56970,2022,GWh
"Imports",38917,2023,GWh
"Exports",-14678,2000,GWh
"Exports",-16474,2001,GWh
"Exports",-13561,2002,GWh
"Exports",-23972,2003,GWh
"Exports",-22898,2004,GWh
"Exports",-19803,2005,GWh
"Exports",-24271,2006,GWh
"Exports",-20143,2007,GWh
"Exports",-24198,2008,GWh
"Exports",-18138,2009,GWh
"Exports",-19107,2010,GWh
"Exports",-15038,2011,GWh
"Exports",-11995,2012,GWh
"Exports",-11353,2013,GWh
"Exports",-13298,2014,GWh
"Exports",-9100,2015,GWh
"Exports",-6214,2016,GWh
"Exports",-9370,2017,GWh
"Exports",-13804,2018,GWh
"Exports",-20008,2019,GWh
"Exports",-14134,2020,GWh
"Exports",-13855,2021,GWh
"Exports",-15758,2022,GWh
"Exports",-20013,2023,GWh
