Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
2018-02-01 00:00:00;01.02.2018 00:15;1195.0;460.0;1043.75;5000.0;0.0;56.75;2313.75;3958.75;1092.25;1037.0;1.75;321.75
2018-02-01 00:15:00;01.02.2018 00:30;1193.25;461.5;1044.5;4987.5;0.0;56.75;2308.75;3959.75;1079.25;1001.25;1.5;320.5
2018-02-01 00:30:00;01.02.2018 00:45;1193.0;461.25;1052.5;4932.5;0.0;56.75;2302.5;3910.75;1034.5;991.0;1.5;322.5
2018-02-01 00:45:00;01.02.2018 01:00;1193.75;455.75;1055.0;4838.25;0.0;56.75;2304.0;3864.5;1015.75;989.75;2.0;321.0
2018-02-01 01:00:00;01.02.2018 01:15;1193.0;459.25;1059.0;4783.75;0.0;56.75;2321.5;3893.0;988.5;985.25;4.5;320.25
2018-02-01 01:15:00;01.02.2018 01:30;1193.25;457.5;1062.75;4693.75;0.0;56.75;2316.25;3877.5;989.75;981.5;2.5;322.25
2018-02-01 01:30:00;01.02.2018 01:45;1193.25;459.75;1061.5;4583.75;0.0;56.75;2319.5;3869.5;987.25;983.25;3.5;321.5
2018-02-01 01:45:00;01.02.2018 02:00;1193.5;454.25;1056.25;4573.25;0.0;56.75;2313.75;3859.25;992.75;984.0;3.25;321.25
2018-02-01 02:00:00;01.02.2018 02:15;1191.0;458.25;1045.25;4543.25;0.0;56.75;2320.25;3820.5;991.0;985.5;6.0;320.0
2018-02-01 02:15:00;01.02.2018 02:30;1192.25;466.5;1037.0;4493.75;0.0;57.0;2313.5;3788.5;1003.25;982.25;4.75;319.25
2018-02-01 02:30:00;01.02.2018 02:45;1192.25;455.25;1038.75;4544.75;0.0;57.0;2309.25;3782.0;1002.75;984.0;2.0;318.75
2018-02-01 02:45:00;01.02.2018 03:00;1192.5;454.5;1028.75;4549.0;0.0;57.0;2308.5;3779.5;983.25;985.75;1.75;319.0
2018-02-01 03:00:00;01.02.2018 03:15;1189.75;453.75;1022.25;4507.25;0.0;57.0;2285.75;3780.75;969.25;987.25;1.75;319.5
2018-02-01 03:15:00;01.02.2018 03:30;1188.75;463.75;1027.25;4458.25;0.0;56.75;2253.5;3768.0;974.0;984.5;1.75;318.25
2018-02-01 03:30:00;01.02.2018 03:45;1188.5;453.75;1012.0;4435.75;0.0;57.0;2280.75;3782.0;976.0;983.75;4.5;318.25
2018-02-01 03:45:00;01.02.2018 04:00;1187.25;452.25;1023.75;4456.75;0.0;57.0;2277.25;3782.0;979.0;982.25;2.0;310.5
2018-02-01 04:00:00;01.02.2018 04:15;1186.75;462.0;1024.5;4385.5;0.0;56.75;2277.0;3799.25;978.75;999.75;2.0;319.75
2018-02-01 04:15:00;01.02.2018 04:30;1187.75;452.0;1041.75;4259.0;0.0;56.75;2297.5;3802.25;992.25;1001.25;2.0;319.75
2018-02-01 04:30:00;01.02.2018 04:45;1186.75;456.5;1060.25;4213.0;0.0;56.75;2326.0;3811.25;1000.25;1009.5;2.0;319.25
2018-02-01 04:45:00;01.02.2018 05:00;1185.75;450.75;1056.5;4195.5;0.0;56.75;2325.25;3812.75;1054.75;1035.5;2.75;321.25
2018-02-01 05:00:00;01.02.2018 05:15;1189.25;459.5;1058.5;4161.25;0.0;57.75;2305.0;3804.5;1287.75;1106.5;40.75;323.75
2018-02-01 05:15:00;01.02.2018 05:30;1194.5;452.75;1048.25;4145.25;0.0;59.25;2300.5;3826.5;1356.0;1154.5;50.0;325.0
2018-02-01 05:30:00;01.02.2018 05:45;1196.0;450.0;1051.5;4166.75;0.0;59.5;2303.75;3898.0;1403.75;1213.5;70.0;325.5
2018-02-01 05:45:00;01.02.2018 06:00;1197.75;456.0;1056.25;4128.0;0.0;59.5;2303.5;3931.5;1535.75;1240.0;230.75;325.75
2018-02-01 06:00:00;01.02.2018 06:15;1198.25;453.75;1014.25;4205.0;0.0;59.75;2285.75;3972.25;1702.0;1331.75;166.0;307.0
2018-02-01 06:15:00;01.02.2018 06:30;1201.0;452.75;954.5;4244.25;0.0;60.0;2291.5;4011.75;1827.75;1394.25;315.5;306.75
2018-02-01 06:30:00;01.02.2018 06:45;1202.75;455.5;848.5;4262.25;0.0;60.0;2296.25;4035.25;1947.75;1418.0;497.0;308.0
2018-02-01 06:45:00;01.02.2018 07:00;1204.25;455.0;845.75;4263.5;0.0;60.0;2297.75;4040.25;2062.5;1478.0;689.5;306.75
2018-02-01 07:00:00;01.02.2018 07:15;1207.25;451.5;830.5;4247.25;0.0;60.0;2271.75;4064.75;2096.5;1563.5;703.5;309.0
2018-02-01 07:15:00;01.02.2018 07:30;1212.75;466.5;829.0;4252.75;0.0;60.25;2274.75;4088.25;2158.5;1582.75;902.75;309.5
2018-02-01 07:30:00;01.02.2018 07:45;1212.25;470.0;890.5;4258.75;0.0;60.25;2277.25;4098.5;2180.25;1617.5;921.5;309.5
2018-02-01 07:45:00;01.02.2018 08:00;1215.5;465.75;896.25;4291.25;2.0;60.75;2283.0;4100.25;2186.0;1634.0;955.25;309.75
2018-02-01 08:00:00;01.02.2018 08:15;1220.25;463.5;855.5;4310.0;17.0;60.75;2272.75;4092.25;2117.75;1634.75;667.25;310.25
2018-02-01 08:15:00;01.02.2018 08:30;1222.25;464.5;823.0;4275.0;62.5;60.75;2280.25;4101.75;2149.25;1641.5;668.0;308.75
2018-02-01 08:30:00;01.02.2018 08:45;1221.0;464.0;901.75;4264.75;167.0;60.75;2282.5;4095.25;2197.0;1655.5;482.75;309.0
2018-02-01 08:45:00;01.02.2018 09:00;1218.5;466.75;977.25;4177.75;298.25;60.75;2282.25;4098.0;2207.25;1664.0;372.5;308.75
2018-02-01 09:00:00;01.02.2018 09:15;1212.5;470.5;993.5;4125.0;440.5;60.75;2286.5;4059.5;2153.0;1660.5;573.5;310.0
2018-02-01 09:15:00;01.02.2018 09:30;1212.0;477.0;986.0;4123.75;593.75;60.75;2284.75;4035.25;2146.0;1660.5;543.25;309.25
2018-02-01 09:30:00;01.02.2018 09:45;1210.25;470.0;985.0;4168.25;766.5;60.75;2283.0;4029.75;2149.0;1660.75;491.5;310.25
2018-02-01 09:45:00;01.02.2018 10:00;1211.25;468.25;998.75;4151.5;910.25;60.75;2275.75;4045.0;2145.25;1660.0;312.25;309.25
2018-02-01 10:00:00;01.02.2018 10:15;1208.5;472.0;943.5;4140.75;1035.75;60.75;2278.25;3956.5;2118.25;1662.5;457.75;310.0
2018-02-01 10:15:00;01.02.2018 10:30;1209.0;469.5;945.75;4169.25;1166.0;60.75;2277.75;3947.25;2045.75;1662.0;333.25;307.5
2018-02-01 10:30:00;01.02.2018 10:45;1209.0;460.5;984.5;4264.0;1297.5;60.75;2278.5;3942.5;2130.25;1664.25;254.25;307.0
