Datum von;Datum bis;Netzlast [MWh] Originalauflösungen;Netzlast inkl. Pumpspeicher [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen
2015-01-01 00:00:00;01.01.2015 00:15;11210.0;11333.0;123.0;9051.75
2015-01-01 00:15:00;01.01.2015 00:30;11118.75;11273.0;154.25;8966.5
2015-01-01 00:30:00;01.01.2015 00:45;11144.75;11305.25;160.5;8976.0
2015-01-01 00:45:00;01.01.2015 01:00;11126.75;11290.5;163.75;8961.5
2015-01-01 01:00:00;01.01.2015 01:15;11009.5;11097.0;87.5;8835.0
2015-01-01 01:15:00;01.01.2015 01:30;10923.25;11009.25;86.0;8718.75
2015-01-01 01:30:00;01.01.2015 01:45;10817.0;10903.25;86.25;8613.5
2015-01-01 01:45:00;01.01.2015 02:00;10705.0;10791.5;86.5;8473.75
2015-01-01 02:00:00;01.01.2015 02:15;10650.0;10736.25;86.25;8386.5
2015-01-01 02:15:00;01.01.2015 02:30;10546.75;10641.0;94.25;8284.0
2015-01-01 02:30:00;01.01.2015 02:45;10437.75;10558.5;120.75;8180.75
2015-01-01 02:45:00;01.01.2015 03:00;10328.75;10549.25;220.5;8058.0
2015-01-01 03:00:00;01.01.2015 03:15;10258.0;10543.25;285.25;7980.0
2015-01-01 03:15:00;01.01.2015 03:30;10178.0;10471.0;293.0;7923.0
2015-01-01 03:30:00;01.01.2015 03:45;10119.25;10445.75;326.5;7868.0
2015-01-01 03:45:00;01.01.2015 04:00;10062.5;10386.0;323.5;7777.0
2015-01-01 04:00:00;01.01.2015 04:15;10035.25;10465.5;430.25;7721.5
2015-01-01 04:15:00;01.01.2015 04:30;9963.25;10398.5;435.25;7652.5
2015-01-01 04:30:00;01.01.2015 04:45;9980.0;10426.75;446.75;7700.0
2015-01-01 04:45:00;01.01.2015 05:00;9958.25;10467.5;509.25;7699.5
2015-01-01 05:00:00;01.01.2015 05:15;9940.25;10502.5;562.25;7610.25
2015-01-01 05:15:00;01.01.2015 05:30;9867.0;10465.75;598.75;7550.25
2015-01-01 05:30:00;01.01.2015 05:45;9795.0;10432.0;637.0;7494.25
2015-01-01 05:45:00;01.01.2015 06:00;9670.25;10330.5;660.25;7386.0
2015-01-01 06:00:00;01.01.2015 06:15;9472.25;10151.75;679.5;7159.25
2015-01-01 06:15:00;01.01.2015 06:30;9445.75;10171.5;725.75;7079.25
2015-01-01 06:30:00;01.01.2015 06:45;9477.0;10224.25;747.25;7001.0
2015-01-01 06:45:00;01.01.2015 07:00;9455.25;10170.0;714.75;6922.0
2015-01-01 07:00:00;01.01.2015 07:15;9487.0;10217.0;730.0;6951.25
2015-01-01 07:15:00;01.01.2015 07:30;9488.0;10220.75;732.75;6921.0
2015-01-01 07:30:00;01.01.2015 07:45;9539.75;10282.0;742.25;6930.75
2015-01-01 07:45:00;01.01.2015 08:00;9583.75;10280.0;696.25;6964.25
2015-01-01 08:00:00;01.01.2015 08:15;9626.0;10380.0;754.0;7029.75
2015-01-01 08:15:00;01.01.2015 08:30;9631.75;10409.25;777.5;7020.0
2015-01-01 08:30:00;01.01.2015 08:45;9696.75;10268.5;571.75;7171.25
2015-01-01 08:45:00;01.01.2015 09:00;9838.0;10374.5;536.5;7310.25
2015-01-01 09:00:00;01.01.2015 09:15;10061.25;10584.25;523.0;7509.25
2015-01-01 09:15:00;01.01.2015 09:30;10244.75;10661.5;416.75;7584.75
2015-01-01 09:30:00;01.01.2015 09:45;10448.0;10862.5;414.5;7698.0
2015-01-01 09:45:00;01.01.2015 10:00;10652.25;11071.25;419.0;7812.25
2015-01-01 10:00:00;01.01.2015 10:15;10804.25;11222.0;417.75;7846.5
2015-01-01 10:15:00;01.01.2015 10:30;10971.0;11282.25;311.25;7898.5
2015-01-01 10:30:00;01.01.2015 10:45;11157.0;11455.25;298.25;7929.25
2015-01-01 10:45:00;01.01.2015 11:00;11334.25;11606.75;272.5;7925.5
2015-01-01 11:00:00;01.01.2015 11:15;11586.5;11800.0;213.5;8058.25
2015-01-01 11:15:00;01.01.2015 11:30;11739.75;11888.5;148.75;8113.25
2015-01-01 11:30:00;01.01.2015 11:45;11888.25;12026.0;137.75;8157.25
2015-01-01 11:45:00;01.01.2015 12:00;11991.75;12200.0;208.25;8123.5
2015-01-01 12:00:00;01.01.2015 12:15;12071.5;12243.0;171.5;8099.0
2015-01-01 12:15:00;01.01.2015 12:30;12162.25;12398.0;235.75;8065.5
2015-01-01 12:30:00;01.01.2015 12:45;12174.75;12356.5;181.75;8043.75
2015-01-01 12:45:00;01.01.2015 13:00;12093.75;12394.0;300.25;7992.75
2015-01-01 13:00:00;01.01.2015 13:15;12000.0;12185.75;185.75;7928.75
2015-01-01 13:15:00;01.01.2015 13:30;11888.25;12101.75;213.5;7810.25
2015-01-01 13:30:00;01.01.2015 13:45;11838.25;12063.5;225.25;7858.75
2015-01-01 13:45:00;01.01.2015 14:00;11801.25;11990.5;189.25;7924.5
2015-01-01 14:00:00;01.01.2015 14:15;11789.0;11939.25;150.25;8065.0
2015-01-01 14:15:00;01.01.2015 14:30;11708.5;11839.25;130.75;8088.25
2015-01-01 14:30:00;01.01.2015 14:45;11684.5;11815.25;130.75;8197.0
2015-01-01 14:45:00;01.01.2015 15:00;11590.0;11722.25;132.25;8222.25
2015-01-01 15:00:00;01.01.2015 15:15;11657.25;11700.75;43.5;8423.75
2015-01-01 15:15:00;01.01.2015 15:30;11676.75;11707.5;30.75;8542.5
2015-01-01 15:30:00;01.01.2015 15:45;11674.75;11708.75;34.0;8577.75
2015-01-01 15:45:00;01.01.2015 16:00;11724.75;11832.5;107.75;8593.0
2015-01-01 16:00:00;01.01.2015 16:15;11822.25;11980.75;158.5;8616.75
2015-01-01 16:15:00;01.01.2015 16:30;12064.0;12208.0;144.0;8719.0
2015-01-01 16:30:00;01.01.2015 16:45;12426.25;12576.25;150.0;8947.25
2015-01-01 16:45:00;01.01.2015 17:00;12804.25;12909.75;105.5;9201.25
2015-01-01 17:00:00;01.01.2015 17:15;13154.0;13243.0;89.0;9466.25
2015-01-01 17:15:00;01.01.2015 17:30;13378.75;13454.0;75.25;9581.0
2015-01-01 17:30:00;01.01.2015 17:45;13533.5;13600.5;67.0;9594.5
2015-01-01 17:45:00;01.01.2015 18:00;13558.0;13645.25;87.25;9546.5
2015-01-01 18:00:00;01.01.2015 18:15;13611.75;13703.0;91.25;9509.0
2015-01-01 18:15:00;01.01.2015 18:30;13604.25;13710.5;106.25;9413.25
2015-01-01 18:30:00;01.01.2015 18:45;13588.5;13748.75;160.25;9336.0
2015-01-01 18:45:00;01.01.2015 19:00;13500.75;13688.25;187.5;9179.0
2015-01-01 19:00:00;01.01.2015 19:15;13497.25;13583.5;86.25;9077.0
2015-01-01 19:15:00;01.01.2015 19:30;13485.25;13576.25;91.0;9016.25
2015-01-01 19:30:00;01.01.2015 19:45;13380.0;13496.0;116.0;8847.25
2015-01-01 19:45:00;01.01.2015 20:00;13272.0;13392.75;120.75;8686.0
2015-01-01 20:00:00;01.01.2015 20:15;13169.25;13270.5;101.25;8491.25
2015-01-01 20:15:00;01.01.2015 20:30;12974.0;13083.25;109.25;8225.75
2015-01-01 20:30:00;01.01.2015 20:45;12720.75;12840.5;119.75;7899.0
2015-01-01 20:45:00;01.01.2015 21:00;12571.75;12701.25;129.5;7638.5
2015-01-01 21:00:00;01.01.2015 21:15;12551.5;12734.5;183.0;7551.0
