Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
01.04.2020 00:00;01.04.2020 00:15;1.178,50;421,50;805,75;1.898,50;0,00;54,25;1.670,25;2.647,50;491,75;1.840,75;473,25;322,00
01.04.2020 00:15;01.04.2020 00:30;1.175,75;397,00;833,25;1.940,25;0,00;53,50;1.670,00;2.633,00;486,75;1.849,00;305,00;322,00
01.04.2020 00:30;01.04.2020 00:45;1.175,00;406,50;851,50;1.961,50;0,00;53,25;1.669,75;2.626,00;483,50;1.830,75;292,75;320,25
01.04.2020 00:45;01.04.2020 01:00;1.175,75;389,25;869,75;1.991,50;0,00;53,25;1.668,00;2.624,75;482,75;1.828,75;139,75;320,00
01.04.2020 01:00;01.04.2020 01:15;1.175,50;403,25;892,00;2.016,75;0,00;53,25;1.659,75;2.601,25;485,00;1.803,00;241,25;318,50
01.04.2020 01:15;01.04.2020 01:30;1.171,25;397,00;903,50;2.060,25;0,00;53,25;1.657,00;2.534,00;483,00;1.800,50;207,00;319,75
01.04.2020 01:30;01.04.2020 01:45;1.171,50;396,25;891,50;2.112,00;0,00;53,25;1.656,75;2.518,50;483,25;1.797,50;208,50;319,00
01.04.2020 01:45;01.04.2020 02:00;1.176,00;392,00;876,75;2.101,75;0,00;53,25;1.656,50;2.512,25;484,50;1.793,50;209,50;319,25
01.04.2020 02:00;01.04.2020 02:15;1.173,75;407,00;892,75;2.090,75;0,00;53,25;1.659,00;2.507,25;469,50;1.800,50;451,25;319,00
01.04.2020 02:15;01.04.2020 02:30;1.173,75;407,75;898,50;2.100,00;0,00;53,25;1.657,50;2.497,75;460,25;1.797,25;356,00;320,75
01.04.2020 02:30;01.04.2020 02:45;1.169,25;408,75;907,00;2.114,50;0,00;53,50;1.659,75;2.491,75;458,25;1.793,00;353,50;320,25
01.04.2020 02:45;01.04.2020 03:00;1.167,25;388,00;930,00;2.132,00;0,00;53,25;1.658,00;2.440,75;456,00;1.794,50;389,75;320,75
01.04.2020 03:00;01.04.2020 03:15;1.170,00;394,00;960,00;2.178,00;0,00;53,25;1.668,00;2.433,25;456,25;1.800,50;460,25;320,25
01.04.2020 03:15;01.04.2020 03:30;1.167,25;392,75;983,75;2.210,00;0,00;53,50;1.667,50;2.415,25;455,75;1.817,75;468,75;319,75
01.04.2020 03:30;01.04.2020 03:45;1.167,50;386,75;930,75;2.230,50;0,25;53,50;1.668,00;2.435,00;457,25;1.802,25;449,00;320,50
